1;1;2;1;350000.0
2;1;5;1;280000.0
3;2;3;1;150000.0
4;2;1;1;200000.0
5;3;3;1;150000.0
6;3;7;1;180000.0
7;4;4;1;400000.0
8;4;2;1;350000.0
9;5;1;2;200000.0
10;5;8;1;120000.0
11;6;5;1;280000.0
12;6;9;1;189000.0
13;7;6;1;420000.0
14;7;10;1;110000.0
15;8;7;3;180000.0
16;8;11;1;95000.0
17;9;8;2;120000.0
18;9;12;1;105000.0
19;10;9;1;189000.0
20;10;13;1;450000.0
21;11;10;1;110000.0
22;11;14;1;600000.0
23;12;11;2;95000.0
24;12;15;1;135000.0
25;13;12;1;105000.0
26;13;16;2;55000.0
27;14;13;1;450000.0
28;14;17;1;250000.0
29;15;14;1;600000.0
30;15;18;1;165000.0
31;16;15;2;135000.0
32;16;19;1;195000.0
33;17;16;5;55000.0
34;17;20;1;140000.0
35;18;17;1;250000.0
36;18;21;1;320000.0
37;19;18;1;165000.0
38;19;22;1;380000.0
39;20;19;1;195000.0
40;20;23;1;410000.0
41;21;20;2;140000.0
42;21;24;1;550000.0
43;22;21;1;320000.0
44;22;25;1;145000.0
45;23;22;1;380000.0
46;23;26;1;98000.0
47;24;23;1;410000.0
48;24;27;1;220000.0
49;25;24;1;550000.0
50;25;28;1;130000.0
51;26;25;2;145000.0
52;26;29;1;285000.0
53;27;30;1;175000.0
54;27;6;2;420000.0
55;28;3;1;150000.0
56;28;11;1;95000.0
57;29;8;2;120000.0
58;29;14;1;600000.0
59;30;17;1;250000.0
60;30;21;1;320000.0
61;31;1;1;184000.0
62;32;1;1;200000.0
63;33;1;4;174000.0
64;34;1;8;200000.0
65;35;3;1;138000.0
66;36;3;1;150000.0
