1;2;1;05/02/2026;750000.0
2;3;2;07/02/2026;1050000.0
3;2;3;10/02/2026;1200000.0
4;1;1;12/02/2026;450000.0
5;3;2;14/02/2026;890000.0
6;2;3;17/02/2026;1550000.0
7;1;1;19/02/2026;320000.0
8;3;2;21/02/2026;210000.0
9;2;3;24/02/2026;580000.0
10;1;1;26/02/2026;125000.0
11;3;2;01/03/2026;960000.0
12;2;3;03/03/2026;430000.0
13;1;1;05/03/2026;770000.0
14;3;2;07/03/2026;1100000.0
15;2;3;09/03/2026;240000.0
16;1;1;11/03/2026;650000.0
17;3;2;13/03/2026;180000.0
18;2;3;15/03/2026;920000.0
19;1;1;17/03/2026;310000.0
20;3;2;19/03/2026;500000.0
21;2;3;21/03/2026;145000.0
22;1;1;22/03/2026;880000.0
23;3;2;23/03/2026;420000.0
24;2;3;24/03/2026;1350000.0
25;1;1;25/03/2026;290000.0
26;3;2;26/03/2026;710000.0
27;2;3;27/03/2026;540000.0
28;1;1;28/03/2026;115000.0
29;3;2;29/03/2026;820000.0
30;2;3;30/03/2026;630000.0
31;2;1;31/03/2026;184000.0
32;6;1;01/04/2026;200000.0
33;3;1;01/04/2026;696000.0
34;1;1;02/04/2026;1600000.0
35;2;1;02/04/2026;138000.0
36;6;1;03/04/2026;150000.0
37;2;1;05/04/2026;184000.0
38;2;1;05/04/2026;368000.0
39;1;1;06/04/2026;196000.0
